count	player_id	name	author	released	reference
39	MusicComposer/FlashInc	Music-Composer	Fredrik Karlsson (Zodiac) & Anders Elmén (Moon)	1991 Flash Inc.	
39	Equalizer				
37	D.A.I.S.Y.				
37	Background_MusicEditor	Background Music Editor	Gary Davis	1983	https://hvmec.altervista.org/blog/?p=3405
37	NordicBeat_Editor		Daniel Hansson (Matrix)	1991 Nordic Beat	https://csdb.dk/release/?id=33642
37	MusDriver/Paul_Hughes	Music Driver	Paul Hughes		
37	Mark_Cooksey		Mark Cooksey		
37	Stephen_Ruddy		Stephen Ruddy		
37	Maduplec		Martin Arentoft (Maduplec)		
36	4753_Softcopy				
36	Comer/NMI_Sample_5		Pawel Kulikowski (Comer)		https://csdb.dk/release/?id=101599
35	PVL/Rhythmic_Lunatics		Pascal van Loosbroek (PVL)		
35	Jeroen_Kimmel				
34	Soundbooster		Stephan Swertvaegher (Midas)	1990	https://csdb.dk/release/?id=7536
34	GeniusComposer		Tobias Erbsland (Dr. Zoom)	1994	https://csdb.dk/release/?id=94332
33	Sonic_Graffiti	Sonic Graffiti Music Editor	Andy Lumley	1989 Sonic Graffiti	https://csdb.dk/release/?id=122160
32	JCH_OldPlayer		Jens-Christian Huus (JCH)		
31	C64_Speech_System	C64 Speech System	Kristian Köhntopp	1986 64'er/Markt & Technik	https://csdb.dk/release/?id=129965
31	Cycleburner_Digi		Even Scharning (Cycleburner)		
31	Mark_Tait				
31	Sidbang64_2/Warp8		Sebastian Abel (Warp8)		
30	Acid_Player		Stuart McDowell (Acid)		
28	TFMX/TimeComposer		Oliver Hoeller (Rhodan)	1990	https://csdb.dk/release/?id=62502
28	Neil_Brennan				
27	Hermit/1RasterTracker		Mihály Horváth (Hermit)	2013	https://csdb.dk/release/?id=117935
27	Mike/LSD		Michael Vandenberg (Mike)	1990 Lightning Soundtrack Development (LSD)	
27	Frank_Hammer/Sharon				
26	Companion	The Companion to the Commodore 64	Keith Bowden	1984 Pan Books	
26	Sidbang64_1/Warp8		Sebastian Abel (Warp8)	2021	https://csdb.dk/release/?id=199203
25	Element114Studio_2.0	Music Studio 2	Martin Piper	2010 Element 114 Software	https://csdb.dk/release/?id=91544
25	Barry_Leitch				
25	Companion/Jay_Derrett		Jay Derrett		
25	Kawasaki_Synthesizer	Kawasaki Synthesizer	Ryo Kawasaki	1983 Sight & Sound Music Software	
25	CCC_Editor	Commodore Cracking Crew Music Editor	Pex Tufvesson	1987 Commodore Cracking Crew	https://csdb.dk/release/?id=149128
24	Sound-Tracker_64		Claus Leth Gregersen (Groo) & Michael Toft (Dean) & Lars Pedersen (Spe)	1988 Mechanix 2124	https://csdb.dk/release/?id=36365
24	Jason_Brooke				
23	Harri_Palviainen				
23	TrackPlayer		Marceli Rzepka (Lyon)	Motiv 8	https://csdb.dk/release/?id=90076
22	TFMX	The Final Musicsystem eXtended (TFMX)	Chris Hülsbeck	1988	
22	RoMuzak_V7.x		Oliver Blasnik (ROM)		https://csdb.dk/release/?id=17819
22	Stephan/Bytemare	Music-Editor	Stephan Schloepke (Magic Man)	1990 Bytemare	https://csdb.dk/release/?id=125970
22	Jeroen_Koops				
22	Slaygon		Kenneth Mutka (Slaygon)		
21	SadoTracker		Lasse Öörni (Cadaver)	1999 Covert Bitops	https://csdb.dk/release/?id=72773
21	Games_Creator	The Games Creator	David Darling & Richard Darling	1984 Mirrorsoft Ltd. / Mastertronic	https://csdb.dk/release/?id=116924
21	Radarsoft				
21	Roel_Bosch				
21	Paradroid/Lameplayer		Paradroid	1990	https://csdb.dk/release/?id=101595
20	Novaload				
20	Loadstar_SongSmith_v1				
20	Electronic_Speech_Sys	Electronic Speech System			
20	Dave_Warhol				
20	Tiny/Sound_Images				
20	Anvil		Petri Reiman (Anvil)		
20	MacMusic				https://csdb.dk/release/?id=117250
19	Antony_Crowther_V2	Music Master	Antony Crowther	1986 Your Commodore	https://csdb.dk/release/?id=14590
19	Artlace	Artlace Editor (ARL-Editor)	Artúr Bujdosó (Artlace)	1993 Rebels	https://csdb.dk/release/?id=152723
19	Music_Construction_Set	Will Harvey's Music Construction Set	Will Harvey	1984 Electronic Arts	https://csdb.dk/release/?id=185248
18	Comer/Sample_Studio		Pawel Kulikowski (Comer)		https://csdb.dk/release/?id=101704
18	NinjaTracker_V1.x		Lasse Öörni (Cadaver)	2002 Covert Bitops	https://csdb.dk/release/?id=7206
18	OxyMod4Bit/THCM		Uwe Anfang (The Human Code Machine)		
18	GRG_tiny_4		Glenn Rune Gallefoss (GRG)		
18	Burgstaller_B				
18	Micropearl/Fitzpatrick				
18	Ghost/SampleMon	Sample Mon	Slawomir Skrzynski (Ghost)	1994 Biuro Informatyczno-Wydawnicze (BIW)	https://csdb.dk/release/?id=9876
18	LFT		Linus Åkesson (LFT)		
18	Harald_Rosenfeldt	Music Assembler V3.1	Harald Rosenfeldt	1989 64'er/Markt & Technik	
17	K-Byte				
17	GalBard/ATOO	GalBard	Anders Andréen (ATOO)		
