count	player_id	category	name	author	released	reference	source_url	source_type	language	source_note
5	Chris_Grigg_2	binary-only								
5	Llamasoft/James_Lisney	binary-only								
5	4-Mat_tiny_1	binary-only								
5	HCL/BoozeDesign	binary-only		David Malmborg (HCL)						
5	Graffity/Brian	binary-only								
5	Audial_Arts/Cody	binary-only								
5	Bappalander/Spacelab1	binary-only								
5	Bug/NCI	binary-only								
5	SkyLine_Editor_V3.0	binary-only	SkyLine Editor	Daniel Stenberg (Danne)	1990 SkyLine Technics	https://csdb.dk/release/?id=167080				
5	Jason_Briggs	binary-only								
5	Music_Maker_128	binary-only			1985 Music Sales Ltd	https://csdb.dk/release/?id=119395				
5	ChristopherJam	binary-only								
5	Steve_Day_Digi	binary-only								
5	Rotteroy_tiny	binary-only								
5	Chris_Grigg	binary-only	Sound Programming Language (SPL)	Chris Grigg						
5	HouseDesigns	binary-only								
5	ALiH	binary-only		Jaymz Julian (A Life in Hell)						
5	Maxx_Digi	binary-only		Zana Bela (Maxx)						
5	Mermaid_tiny_2	binary-only								
5	Ulrich_Muehl	binary-only								
5	PM/Niwa	binary-only								
5	Sarratou_Digi	binary-only								
5	Marco_Scheepers	binary-only								
5	Sentinel_V0.7	binary-only	Sentinel Music Player V07.G0	Sentinel	2020 Sentinel	https://csdb.dk/release/?id=202684				
5	Shaun_Southern	binary-only								
5	ATMDS_1.x	binary-only	Acid Track Music Development System (ATMDS)	Stefan Hübner (St0ff)	1997 Neoplasia	https://csdb.dk/release/?id=129844				
5	Ultimate	binary-only		Dave Thomas <?>						
5	JITT64_1.x	source		Stefano Tognon (Ice00)	2008 Ice Team	https://csdb.dk/release/?id=74136	https://sourceforge.net/p/jitt64/code/	sourceforge	Java	Active SVN repo (Ice00), GPLv2.
5	Steffen_Wagner	binary-only								
5	Walt_Digi	binary-only		Anders Fogh (Walt)						
4	FurC64	source		AnnoyedArt1256	2025 AnnoyedArt1256	https://github.com/AnnoyedArt1256/furC64	https://github.com/AnnoyedArt1256/furC64	git-repo	Python + 6502 asm	SID driver/converter for Furnace tracker (WIP).
4	Rastelin/Bones	binary-only		Jacob Surland (Rastelin)						
4	Georg_Brandt/Rhythm_CS	binary-only	Rhythm Construction Set	Georg Brandt	1986 64'er/Markt & Technik	https://csdb.dk/release/?id=9000				
4	Prophet64	commercial			2006 8bit Ventures			commercial-closed		proprietary, no public source
4	Spinnaker	binary-only								
4	XPMCK	source	Cross Platform Music Compiler Kit	Mic	2008	https://csdb.dk/release/?id=135624	https://github.com/mic-/xpmck	git-repo	Euphoria/Eiffel + 6502/Z80 asm	Cross-platform music compiler kit (Mic).
4	Ozzy_Oldschool_V2	binary-only		Ossi Aarnio (Ozzy Oldskool)						
4	MegaVisionMusic64	binary-only	MegaVision Music 64 V1.0	Stefan Konrath	1992 64'er/Markt & Technik	https://csdb.dk/release/?id=129795				
4	?Unknown_1	binary-only								
4	Softidea	binary-only								
4	?CBS	binary-only								
4	?Unknown_8	binary-only								
4	Creative_Sparks	binary-only								
4	?Jetsoft	binary-only								
4	?Emerald_Software	binary-only								
4	Bubble_Bus/Love_R	binary-only								
4	?Charlie_Barr/DataEast	binary-only								
4	4-Mat/Patchwork	binary-only								
4	4-Mat/TEDplay	binary-only								
4	Mjoosic_Mejker	binary-only	Mjoosic Mejker	Fredrik Ademar (Phred)	1988 Crackers & Programmers Unlimited	https://csdb.dk/release/?id=43954				
4	Ash&Dave_Digi	binary-only								
4	Steven_Baumrucker_2	binary-only								
4	Christoph_Bergmann	binary-only								
4	Comer/Digi	binary-only		Pawel Kulikowski (Comer)						
4	Antony_Crowther_V1	binary-only								
4	Danko/Shadi	binary-only								
4	Colin_Davies	binary-only								
4	Gavin_Graham	binary-only								
4	Groo/Psygon	binary-only		Claus Leth Gregersen (Groo)						
4	Lars_Haard	binary-only								
4	Urs_Heckmann	binary-only								
4	Hein_tiny	binary-only								
4	JCH_DigiPlayer	binary-only								
4	Kyle_Johnson	binary-only								
4	KingFisher_Digi	binary-only								
4	Audio_Effect_Editor	binary-only	Audio Effect Editor	Alexander Kirsch	1989 Golden Disk 64/CP Verlag	https://csdb.dk/release/?id=122169				
4	Twice_Effect_Editor	binary-only	Twice Effect Music Editor	Thomas Engelau	1991 Twice Effect	https://csdb.dk/release/?id=157105				
4	Dan_Liverani	binary-only								
4	MRG	binary-only								
4	Montecchio/Coolsound	binary-only		Andreas Montecchio						
4	John_Prince	binary-only								
4	Luigi_Recanatese	binary-only								
4	Daryll_Reynolds	binary-only								
4	Sentinel_V0.4	binary-only								
4	Gilles_Soulet	binary-only								
4	Censor_Digi/16khz	binary-only								
4	WizPlayer_2.0	binary-only		Piotr Kuciapski (Wizard)						
4	Keith_Wood	binary-only								
3	Boners	binary-only								
3	Audial_Revolution	binary-only	Audial Revolution Music Editor	Maikel van de Lisdonk (Yoga)	1989 Audial Revolution	https://csdb.dk/release/?id=71543				
3	Audiomaster_V2	binary-only		Ruben Spaans (Scroll)	1989 Megastyle	https://csdb.dk/release/?id=7072				
3	Digitize_Design_Group	binary-only								
3	Torpex	binary-only	Torpex's Music Editor	Peter Eriksson (Torpex)	1991 Wildstyle	https://csdb.dk/release/?id=78289				
3	Dutch-USA_Team/MC	binary-only								
3	Loadstar_SongSmith_v3	binary-only								
3	Charles_Callet	binary-only								
3	Bubble_Bus	binary-only								
3	En-Tech_Studio64	binary-only								
3	?Heiko_Schroeder	binary-only								
3	Pretzel/Soundscape	binary-only	Soundscape	Fredrik Blom	1990 Pretzel Logic	https://csdb.dk/release/?id=33643				
3	?ArgusPress	binary-only								
3	Choice_Software	binary-only								
3	?Unknown_10	binary-only								
3	?Caesar_Studio	binary-only								
3	Catalyst_Coders	binary-only								
3	Kevin_Grieve	binary-only								
3	?Beam_Software	binary-only								
3	Jim_Baguley/SolarSoft	binary-only								
3	?Kyle_Granger	binary-only								
3	?DaveJones/MrChip	binary-only								
3	Crunched:Exomizer	binary-only								
3	4-Mat_tiny_2	binary-only								
3	Kenneth_Arnold	binary-only		Kenneth W. Arnold						
3	Audial_Arts/Cody_Digi	binary-only								
3	Entropy_Editor	binary-only	Entropy Music Editor	Simon Collis (Uzzy)	1993 Entropy	https://csdb.dk/release/?id=100032				
3	Andreas_Bauernfeind	binary-only								
3	Steven_Baumrucker_1	binary-only								
3	Frank_Brodersen	binary-only								
3	Andy_Brown	binary-only								
